date,ls_ret
2009-01-19,-0.004575936399033148
2009-01-20,0.002654124721166805
2009-01-21,-0.0007271954356151781
2009-01-22,2.609094465994726e-05
2009-01-23,0.003643783365339134
2009-01-26,-0.0012690014568419003
2009-01-27,-0.0015157012592924362
2009-01-28,0.003419218731445748
2009-01-29,0.00368352465889114
2009-01-30,0.001039974827109885
2009-02-02,0.0016438190649570095
2009-02-03,-0.004426963384819997
2009-02-04,-0.004008192004960228
2009-02-05,0.0041613449438938355
2009-02-06,0.0022579408886448144
2009-02-09,0.0025720025028830285
2009-02-10,0.0020006237528264444
2009-02-11,-0.0003284705438509061
2009-02-12,-0.0006043092165892569
2009-02-13,0.0005182766030691378
2009-02-16,-0.002592278923958671
2009-02-17,-0.0005856125705785689
2009-02-18,-0.0035314839360349754
2009-02-19,-0.0019749878303524033
2009-02-20,-0.004335183953328708
2009-02-23,-0.0017170146943345775
2009-02-24,-0.0008203231477225876
2009-02-25,0.005096529691567306
2009-02-26,-0.0032025236028771185
2009-02-27,-0.014450973411732855
2009-03-02,0.0013119127337450536
2009-03-03,-0.0016817432778589692
2009-03-04,0.0022267561744496534
2009-03-05,0.002808447389674321
2009-03-06,-0.00867527705390823
2009-03-09,0.0020350902168284066
2009-03-10,0.0026455148729509605
2009-03-11,0.007640796450141905
2009-03-12,0.002057754441435558
2009-03-13,0.007094705683547958
2009-03-16,-0.001228804218991907
2009-03-17,-0.007292030561823527
2009-03-18,0.002000853061856698
2009-03-19,0.008686542305624653
2009-03-20,0.0014866589760137421
2009-03-23,0.0017657823703849992
2009-03-24,-0.00033613864091968336
2009-03-25,0.001131399817179727
2009-03-26,0.0004306295691027598
2009-03-27,-0.0019304601251716445
2009-03-30,0.00013954366061307445
2009-03-31,-0.00018531413243792695
2009-04-01,0.001097526287103343
2009-04-02,-0.0001324295270975094
2009-04-03,-0.0038158390724469093
2009-04-06,0.00308858238309474
2009-04-07,-0.004774904457667635
2009-04-08,-0.0015020705662048667
2009-04-09,0.005435727519782084
2009-04-10,-2.6060080195755043e-05
2009-04-13,0.0008433111644351749
2009-04-14,0.0007314405828598013
2009-04-15,-0.001233434064192792
2009-04-16,0.0017830327143428023
2009-04-17,-0.0004738021059110058
2009-04-20,-0.002772521942315473
2009-04-21,-0.00378652771519727
2009-04-22,0.002328048624592997
2009-04-23,0.002599244552898009
2009-04-24,0.0005024345710310288
2009-04-27,5.084459343596744e-05
2009-04-28,-0.0010874867463624878
2009-04-29,0.002919633718705083
2009-04-30,0.003387760888977084
2009-05-01,-0.0010522477657393453
2009-05-04,-0.000629136012673812
2009-05-05,0.008467905567996148
2009-05-06,0.0011558747167694518
2009-05-07,0.006947407038588586
2009-05-08,0.0028332802404845304
2009-05-11,0.0023024581961281036
2009-05-12,-0.0044915208849569
2009-05-13,0.004442598071139954
2009-05-14,0.00035020262561493137
2009-05-15,0.002434150467980573
2009-05-18,0.001234685941586976
2009-05-19,0.00027468879892436366
2009-05-20,-0.0012894878613748683
2009-05-21,0.005725277326165099
2009-05-22,-0.00029659855933745084
2009-05-25,0.0008478244900955575
2009-05-26,0.0037946668886845274
2009-05-27,0.0010624305500652354
2009-05-28,-0.003996955328142416
2009-05-29,-0.0044443095385591
2009-06-01,0.002378492645971818
2009-06-02,0.0016014922551181386
2009-06-03,-0.0005308779161338005
2009-06-04,-0.0017999030439490972
2009-06-05,-0.0014760673052793855
2009-06-08,-0.0008557474365688731
2009-06-09,-0.00018003672103815774
2009-06-10,0.0017446295109072064
2009-06-11,-0.0017395468240175701
2009-06-12,-0.0007264799809994645
2009-06-15,-0.0013635688091272907
2009-06-16,0.002393222212040237
2009-06-17,0.0008759701032217981
2009-06-18,0.002288896321716581
2009-06-19,-0.0029322004115450518
2009-06-22,-0.0012248205723306316
2009-06-23,0.006642718277714202
2009-06-24,-0.0002494301598877525
2009-06-25,-8.737988637978766e-05
2009-06-26,1.3418818408878277e-06
2009-06-29,0.006480051641111458
2009-06-30,0.0001730429412592589
2009-07-01,0.0017827237313879068
2009-07-02,0.0004011831722550499
2009-07-03,0.0028789174541830383
2009-07-06,0.0008036686272662561
2009-07-07,0.002048092630971876
2009-07-08,0.0005743740666410879
2009-07-09,-0.0009760791332740389
2009-07-10,-0.0016084877434443057
2009-07-13,-0.002085763354269611
2009-07-14,0.00507721914585892
2009-07-15,0.003905771734421225
2009-07-16,-0.005570440714537342
2009-07-17,-0.00159884208343972
2009-07-20,0.0041867921513218526
2009-07-21,-0.003780826207056878
2009-07-22,-0.0018207769639811788
2009-07-23,-0.0038345505909388464
2009-07-24,0.00037663371901687243
2009-07-27,0.0023401846224129206
2009-07-28,0.0005816360274364385
2009-07-29,0.006143036428976919
2009-07-30,0.0004887601253445086
2009-07-31,0.0009046409798969261
2009-08-03,-0.0026394070517357267
2009-08-04,-0.002257988859973783
2009-08-05,0.009377741613993632
2009-08-06,-0.0009944918574108614
2009-08-07,-0.004259040095651888
2009-08-10,-0.003426407494057893
2009-08-11,0.0028158499153102794
2009-08-12,-0.0012516816015419666
2009-08-13,0.0034204999073332593
2009-08-14,0.006028100585784504
2009-08-17,0.0029946860021669987
2009-08-18,-0.002489045260742362
2009-08-19,0.005829120921925579
2009-08-20,-0.00025528765729560237
2009-08-21,0.0008718951583887775
2009-08-24,0.0005617007528734446
2009-08-25,0.0013492829736571684
2009-08-26,-0.0058863391715835685
2009-08-27,0.003582288462742907
2009-08-28,-0.0033749781395715044
2009-08-31,0.004797819427694359
2009-09-01,-0.0019506180110679464
2009-09-02,-0.002736151327641381
2009-09-03,0.0017876640274736184
2009-09-04,0.006592637173006847
2009-09-07,-0.0007347750179989791
2009-09-08,0.0020048240280645087
2009-09-09,-0.003771435190115851
2009-09-10,-0.006507089615848394
2009-09-11,-0.0041459489795001294
2009-09-14,-0.017224907266553804
2009-09-15,-0.0068237874622618724
2009-09-16,0.01317406314803185
2009-09-17,-0.015270496289988349
2009-09-18,0.005608632864402776
2009-09-21,-0.014838504046954155
2009-09-22,0.006729312079085993
2009-09-23,-0.004126654837688623
2009-09-24,0.010058526051975783
2009-09-25,0.0020579661585658398
2009-09-28,0.004713740881617983
2009-09-29,-0.0037906970019964256
2009-09-30,0.00035367287195848206
2009-10-01,-0.004492782021671294
2009-10-02,-0.000559957069581167
2009-10-05,-0.002087756791403764
2009-10-06,-0.003264787656989422
2009-10-07,-0.006332986403150588
2009-10-08,-0.008401194088012251
2009-10-09,-0.014245374664090057
2009-10-12,-0.006107781037894289
2009-10-13,0.0036440520824568105
2009-10-14,-0.009032266875619966
2009-10-15,-0.009347733606450533
2009-10-16,0.009964827996113599
2009-10-19,-0.0019720307638394267
2009-10-20,0.002546186644312788
2009-10-21,0.0042619543821936084
2009-10-22,0.0038048293815562
2009-10-23,-0.0057134278783422966
2009-10-26,-0.001809329666168018
2009-10-27,-0.01059058279822116
2009-10-28,0.014652934186405056
2009-10-29,-0.008536455933925111
2009-10-30,-0.008669741559239136
2009-11-02,-0.006525562524537006
2009-11-03,-0.008327530015210452
2009-11-04,0.010766543725650324
2009-11-05,0.014618038520567127
2009-11-06,-0.0014551698031288883
2009-11-09,-0.002765526637475594
2009-11-10,-0.004807513854390695
2009-11-11,-0.0017801596135228791
2009-11-12,-0.0022236017242227585
2009-11-13,-0.0008622957089636403
