variable,coef,se_nw,t_stat,pvalue,ci_lower,ci_upper
const,0.00010544654974645778,7.910423487485793e-05,1.3330076438167073,0.1825292953732892,-4.9594901632861064e-05,0.0002604880011257766
mom_signal,-8.251342960134706e-23,6.190019238381281e-23,-1.333007643816705,0.1825292953732902,-2.0383557730972074e-22,3.880871810702662e-23
