strategy,ann_return,ann_vol,sharpe,sortino,max_drawdown,calmar,skewness,excess_kurtosis,var_5pct,cvar_5pct,n_obs
Momentum L/S,0.02657253053610734,0.07988091582669331,-0.14055258815824515,-0.1928549253880385,-0.17002146942937238,0.15628926526332415,-0.11011090201667953,5.376537655590157,-0.007696261476500347,-0.011796019432335781,3645
Reversal L/S,0.06793621234876847,0.074381268846658,0.4051586214655237,0.5499088623573012,-0.16590743020934068,0.4094826389815519,-0.03799132963323273,7.8251038098874615,-0.006827919097891686,-0.010707122563077485,3770
