strategy,period,n_days,ann_return,ann_vol,sharpe,sharpe_ci_lo,sharpe_ci_hi,sortino,max_drawdown,calmar,win_rate,profit_factor,alpha,beta,alpha_pval,skew,kurtosis
long_only_momentum,in_sample,15813,0.086658,0.089406,0.4858,0.6499,1.297,0.4185,-0.395735,0.219,0.6435,1.283,0.044523,-0.0154,0.0,-1.1553,23.8218
long_short_momentum,in_sample,15813,0.11677,0.124241,0.5919,0.6342,1.2652,0.6626,-0.632886,0.1845,0.571,1.2047,0.080007,-0.0893,0.0,-1.2572,18.0948
mean_reversion,in_sample,15813,0.277253,0.121268,1.9304,1.9901,2.6032,2.676,-0.353453,0.7844,0.5833,1.6314,0.216799,0.2363,0.0,1.6565,30.7277
regime_momentum,in_sample,15813,0.099428,0.067118,0.8374,1.2027,1.8131,0.843,-0.141154,0.7044,0.6517,1.3905,0.052354,0.0524,0.0,-0.4186,8.4953
market_bah,in_sample,15813,0.116002,0.162239,0.4483,0.4565,0.9809,0.5681,-0.545655,0.2126,0.5418,1.1438,-2.4e-05,1.0,0.0,-0.4907,15.6049
sixty_forty,in_sample,15813,0.086904,0.097338,0.4483,0.6304,1.1611,0.5681,-0.355342,0.2446,0.5514,1.1825,-1.5e-05,0.6,0.0,-0.4956,15.6014
