strategy,period,n_days,ann_return,ann_vol,sharpe,sharpe_ci_lo,sharpe_ci_hi,sortino,max_drawdown,calmar,win_rate,profit_factor,alpha,beta,alpha_pval,skew,kurtosis
regime_momentum,1963-1990,6664,0.122302,0.051732,1.0916,1.6479,3.0277,1.0833,-0.140261,0.872,0.7396,1.6556,0.053923,0.0571,0.0,-0.5333,12.1712
regime_momentum,1990-2010,5043,0.094814,0.054677,1.0556,1.154,2.2267,1.0669,-0.10662,0.8893,0.6758,1.4907,0.055023,0.0441,0.0,-0.0028,7.8265
regime_momentum,2010-2026,4106,0.067971,0.096584,0.5578,0.3243,1.0602,0.6394,-0.141154,0.4815,0.4795,1.1543,0.045896,0.0592,0.0,-0.3633,3.9155
long_short_momentum,1963-1990,6664,0.152766,0.077355,1.1238,1.3409,2.5709,1.3424,-0.206738,0.7389,0.5932,1.4349,0.083739,0.0717,0.0,-0.6823,7.8695
long_short_momentum,1990-2010,5043,0.114092,0.145159,0.5303,0.2646,1.3946,0.5852,-0.626621,0.1821,0.5687,1.173,0.090114,-0.2192,0.0,-1.0134,11.9687
long_short_momentum,2010-2026,4106,0.061638,0.154414,0.3078,-0.0183,0.8058,0.3703,-0.396258,0.1555,0.5377,1.0754,0.056081,-0.0636,0.0,-1.2969,15.497
