lag,acf,ci_lower,ci_upper,q_stat,lb_pvalue
0,1.0,0.0,0.0,,
1,-0.00638051661677275,-0.031878816591485615,0.03187881659148561,0.15400971617808387,0.6947326063057262
2,-0.01717556847503771,-0.03188011438332565,0.03188011438332565,1.2702909176831874,0.5298584101213071
3,-0.01880750507418055,-0.031889516869696474,0.03188951686969648,2.609131027789312,0.4558910080486587
4,-0.016125165228027254,-0.03190078734106131,0.03190078734106131,3.593572010912509,0.4637938553405254
5,-4.067574084187788e-05,-0.031909069717257973,0.031909069717257973,3.593578276579536,0.6092777426112345
6,0.02594153814305727,-0.03190906976995198,0.031909069769951975,6.142772199583003,0.40738832518298945
7,0.006323218591103529,-0.03193049551352177,0.03193049551352177,6.294268807910702,0.5058398430250722
8,0.02489538469243589,-0.03193176803892558,0.03193176803892557,8.643248831122106,0.37327860475987973
9,0.012597330683749377,-0.03195148704514737,0.03195148704514737,9.244857175968551,0.4149857780682489
10,-0.023206337680968667,-0.0319565340772545,0.0319565340772545,11.286995657309241,0.33559994499911755
11,0.004371799473230478,-0.03197365556897126,0.03197365556897126,11.359490590458726,0.413656132416909
12,-0.026571742003351405,-0.03197426304400122,0.03197426304400122,14.038304123641817,0.29826893401303917
13,0.022464353273118316,-0.031996696261577105,0.03199669626157711,15.95346624935131,0.2516517874708972
14,0.017989617497246212,-0.032012720535046266,0.032012720535046266,17.18197107640018,0.24661025772178324
15,-0.003721978059821841,-0.03202299255812125,0.03202299255812125,17.23457231387294,0.3050361707048287
16,0.007924342578562315,-0.032023432187902066,0.032023432187902066,17.473073308345604,0.35564123577346324
17,-0.016875357640159874,-0.032025424922577234,0.032025424922577234,18.554968217599253,0.3546660303678676
18,0.018961893656109723,-0.03203446046421992,0.03203446046421992,19.921305586521566,0.33726752240017216
19,0.01859103546643246,-0.032045864881067324,0.032045864881067324,21.23506895914839,0.32395866371309284
20,0.044333224763484766,-0.03205682373886057,0.03205682373886057,28.707882134608415,0.09367260343371857
