strategy,tc_bps,ann_return,ann_vol,sharpe,net_alpha_pct
regime_momentum,0.0,0.102105,0.067052,0.8781,-0.0
regime_momentum,5.0,0.100767,0.06708,0.8578,-0.1338
regime_momentum,10.0,0.099428,0.067118,0.8374,-0.2677
regime_momentum,20.0,0.096751,0.067223,0.7962,-0.5354
regime_momentum,30.0,0.094073,0.067367,0.7547,-0.8032
regime_momentum,50.0,0.088719,0.067772,0.6712,-1.3386
