strategy,period,n_days,ann_return,ann_vol,sharpe,sharpe_ci_lo,sharpe_ci_hi,sortino,max_drawdown,calmar,win_rate,profit_factor,alpha,beta,alpha_pval,skew,kurtosis
long_only_momentum,out_of_sample,15288,0.070897,0.084964,0.3207,0.5236,1.1587,0.2507,-0.47752,0.1485,0.6671,1.2609,0.028652,-0.0199,0.0,-1.3287,28.6791
long_short_momentum,out_of_sample,15288,0.112289,0.126022,0.5447,0.5657,1.2178,0.6119,-0.635076,0.1768,0.5691,1.192,0.07531,-0.0929,0.0,-1.2493,17.5959
mean_reversion,out_of_sample,15288,0.266712,0.122903,1.8155,1.8935,2.5022,2.5337,-0.354425,0.7525,0.5764,1.5885,0.205982,0.2364,0.0,1.6381,30.022
regime_momentum,out_of_sample,15288,0.103912,0.077553,0.7771,1.0301,1.6636,0.8024,-0.278681,0.3729,0.6253,1.338,0.057739,0.0346,0.0,-0.6726,12.7108
market_bah,out_of_sample,15288,0.109787,0.164537,0.4017,0.4263,0.9513,0.5119,-0.549758,0.1997,0.5384,1.1329,-0.006027,1.0003,0.0,-0.4871,15.1755
sixty_forty,out_of_sample,15288,0.083343,0.098718,0.4017,0.5905,1.1304,0.5119,-0.358829,0.2323,0.5476,1.1709,-0.003616,0.6002,0.0,-0.4923,15.1719
