fold,strategy,test_start,test_end,sharpe,n_days
40,long_short_momentum,2008-08-19,2009-08-18,-1.3749008278361894,252
41,regime_momentum,2009-08-19,2010-08-18,-0.6252134053717786,252
41,long_short_momentum,2009-08-19,2010-08-18,-0.03367008275647039,252
42,regime_momentum,2010-08-19,2011-08-17,1.0041603381215356,252
42,long_short_momentum,2010-08-19,2011-08-17,1.226499316778919,252
43,regime_momentum,2011-08-18,2012-08-16,0.91886358037543,252
43,long_short_momentum,2011-08-18,2012-08-16,0.49931668276828883,252
44,regime_momentum,2012-08-17,2013-08-20,-0.18791417198793783,252
44,long_short_momentum,2012-08-17,2013-08-20,0.11600286496348625,252
45,regime_momentum,2013-08-21,2014-08-20,0.11450368387922856,252
45,long_short_momentum,2013-08-21,2014-08-20,0.11450368387922856,252
46,regime_momentum,2014-08-21,2015-08-20,1.9757578013947512,252
46,long_short_momentum,2014-08-21,2015-08-20,1.896959762780503,252
47,regime_momentum,2015-08-21,2016-08-19,-0.34361807842970266,252
47,long_short_momentum,2015-08-21,2016-08-19,-0.7842044154583436,252
48,regime_momentum,2016-08-22,2017-08-21,0.23268434697985965,252
48,long_short_momentum,2016-08-22,2017-08-21,0.23268434697985965,252
49,regime_momentum,2017-08-22,2018-08-21,1.0014292386374934,252
49,long_short_momentum,2017-08-22,2018-08-21,1.2434799140203927,252
50,regime_momentum,2018-08-22,2019-08-22,1.663662920238595,252
50,long_short_momentum,2018-08-22,2019-08-22,1.0038223938566608,252
51,regime_momentum,2019-08-23,2020-08-21,0.5014749305343024,252
51,long_short_momentum,2019-08-23,2020-08-21,-0.09789973973529056,252
52,regime_momentum,2020-08-24,2021-08-23,0.1763143634664939,252
52,long_short_momentum,2020-08-24,2021-08-23,-1.0041798831800983,252
53,regime_momentum,2021-08-24,2022-08-23,0.9076385788772012,252
53,long_short_momentum,2021-08-24,2022-08-23,0.7511378324329355,252
54,regime_momentum,2022-08-24,2023-08-24,-0.37540444051756566,252
54,long_short_momentum,2022-08-24,2023-08-24,-0.2283155183664897,252
55,regime_momentum,2023-08-25,2024-08-26,1.0942858689587367,252
55,long_short_momentum,2023-08-25,2024-08-26,1.0942858689587367,252
56,regime_momentum,2024-08-27,2025-08-28,0.20876080372840036,252
56,long_short_momentum,2024-08-27,2025-08-28,0.5992563108141281,252
57,regime_momentum,2025-08-29,2026-04-30,1.0103272301511979,168
57,long_short_momentum,2025-08-29,2026-04-30,1.911574957619633,168
